,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,RoW,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,0.0,2618185.2687454224,32480248.641952515,9861662.486078262,68934899.03533459,8837565.767912865,406862.09779930115,2289575.1088752747,1864600.199142456,12591941.47642517,38722516.84893417,492580.19845199585,1124385.6731176376,4425338.923999786,34241760.431863785,4021700.388759613,3959044.4376068115,3842684.650417328,8978082.683142662,20074438.415958405,6380321.768028259,2143919.179995537,6013986.91352272,9549302.721738815,6025621.913978577,77610.30038452148,5360280.594198227,7687146.556274414,350891.5959596634,232901.3996734619,1836447.8933143616,9810786.262619972,3560457.997718811,11833354.173875809,325423068.8052244,12402079.796072006,6439879.655056,28670223.394729614,11924723.475513458,68209.09999847412,5560903113.444966,1906560.6397895813,11907.0,10739948.653064728,30990375.134166718,905909542.7860298,10453615.90766716,4064885.076739311,1867045562.8463607,8198453.608615875,1507658.732925415,1726710.2515411377
AL,9918150.795414925,0.0,1687198166.1794648,1331121421.0803404,8177202894.267026,948189779.3641863,243392136.72519493,68578737.75258446,350413016.43016815,16221478260.95064,28981110392.54588,51804914.65554428,708481158.9737902,124645871.73427963,3292824842.1166162,2629961108.341633,627761445.9157734,2614006070.6670837,3647684005.8150735,1249111009.9799137,1325651714.526536,135559407.31010628,3969219215.166153,1065637454.1956749,1869380612.7119045,7440842399.340477,134768672.2467003,3811109606.3473053,97276849.85052109,652441079.9163494,196059680.4081459,1817686972.5043437,149202017.95359802,297771963.82470703,1771709992.1239367,4445163503.393805,1602305441.3568478,456618947.68330765,3000895647.8532553,38505582.72311497,22133584854.928844,3160610517.016395,121657766.86840248,13033474072.1776,10971695374.665283,636777997.3008976,2046757645.31291,103303541.82451439,1044012577.493146,1522656605.3337507,346931360.1554947,35599409.00689125
AR,39391845.96563339,1467090540.047028,0.0,1202249383.83037,3662355401.153197,728140376.1182458,192059084.70110035,10331719.687278748,26627362.82828331,1828738210.9360957,2561705471.5526257,50255978.242767334,841366809.2374728,85343773.68400764,3183342698.5475287,2749413829.1064043,1031817019.3068869,1047636479.647603,3145914966.2993603,597032747.8106022,285094152.4507084,237436059.29644012,1667778917.7125108,517059856.7158506,4346550006.750067,2775813084.9632635,171469826.03613472,1040737914.7183867,131648963.41033268,541683052.9250135,125530200.96707535,852067925.4377313,255984593.56258774,114093783.42522049,1444841863.8259764,1906441774.670524,5848675342.543778,401334990.11810875,2067886140.5612864,15803799.831291199,6264987088.497465,685239491.9607935,108446797.67286682,5464639334.697836,11461961758.907995,1219419075.5678577,1025293104.606801,72128846.6113205,657598159.8674488,1163000432.9091635,234922279.35749054,96884466.43042564
AZ,143577383.27661705,1032006137.6010933,188132532.8941841,0.0,28773748306.572083,2008535923.096765,770635883.1678276,23841982.704885483,77038106.43405437,3176615751.336464,3072618558.789972,283433134.25030375,345207855.78606987,383360401.2422085,1636230611.1780622,1720776995.087719,569870278.4244424,453340739.5252304,501700291.1246034,935474256.087566,677326430.0222416,118307031.61746597,1424297861.027469,1554235404.2077923,921996510.8452315,1187052448.791802,342870242.8577843,982893033.0699034,85544889.28779411,684271228.5297791,243136274.92091942,1099675795.9636412,4972289803.640916,3625360223.8459606,2392027228.350325,1099990595.6430483,475842644.69693756,989810943.8461103,1395478219.7686443,140482598.68309784,22438310203.218025,811374999.696188,77473805.55171585,1382569161.24997,13822708642.17015,2603011177.838144,1531579163.4625282,60038520.74398041,2075374636.6160958,797153107.1005306,45486657.62293458,160810384.1926751
CA,989122849.6607914,9853174035.043344,2653561780.98382,37139048412.28582,0.0,13784256455.336758,5997968211.570751,736130347.84657,1054920742.9292278,38465193194.36145,16184856167.050379,9724508933.609243,4191943838.463813,4154731675.165884,22390565920.78359,11117869192.713074,6575946721.135468,8460295781.112959,4481847498.632055,10168068069.493927,8735724468.940899,1146865669.4705896,16754029364.642685,9638862965.833431,10329563520.308853,6905682076.553591,3434409731.407851,11844170159.228542,1494138456.8077202,2331258909.992921,2540362891.9664154,20512225359.96171,3136598879.6372356,31276142141.026905,24813185322.947975,32224013152.568672,6144499814.280881,23580379976.57371,21788349218.76222,728643875.3431425,181643108890.51334,5289801029.254108,712727726.4692793,13551609197.959002,69730496816.38536,17452254855.05356,11167889293.793306,525088057.6618767,32918878000.67843,8764912915.13557,1477316726.9181004,1056667521.3376155
CO,536929384.2474937,536310842.28426504,173190525.2027502,1868014489.3837197,10689603803.803526,0.0,290130770.8591857,21358293.562854767,163053799.02584457,2386579967.3758187,1016037734.2562187,89167529.09287596,1254785786.2162106,746841236.1696172,6041965362.473738,632875319.9339714,3485070634.787029,952386394.3291702,484715303.127306,2415152539.786963,615395722.3209858,134635311.16304207,1505337491.053129,1621433348.5097566,2046050357.4771512,258041806.10554427,1853420059.2007146,849651073.3095431,457277004.4047928,3104926566.7892513,264570431.22444153,1533021092.7826555,2472302161.218105,415653801.83514786,1888024578.8897526,1660480107.951354,1114151394.0770583,1441010080.3255854,1425787509.0054266,43893356.44609451,9725873918.815765,400880358.32000923,1021104504.9245892,1086097491.9264288,9009960527.252602,4925885179.490034,1120832987.6379354,38282873.2233963,1858484973.3274474,915081103.4522629,77042720.37148046,3838552301.218992
CT,43205111.23640251,413751432.4976425,319586133.55007935,709857120.9931479,4704677466.128254,481281817.84872913,0.0,335216527.9819107,580916916.1083565,3550975984.410944,1642457271.9770975,170728508.77423668,328784002.46220016,298755517.71767044,3551304831.3315167,1400644705.9480515,518490636.98612785,1705624245.4268808,277765973.75017834,19887188233.117447,987077902.6669121,1625510395.5217247,1859651591.32685,1035687353.9775743,796320205.6170168,289359869.8971977,91701810.58824062,2203005405.6262436,89009010.99564934,281137661.3708687,3123204217.3689404,8419216979.952022,62153232.51341915,229749217.52641296,37695740904.28837,2233368432.2897053,380545678.18911266,281443279.93302345,5015616393.399783,3784038457.3249993,14638134663.346209,864419017.8565807,109568330.5987072,5975558196.89771,3985728480.3504305,334769730.97899914,1135883920.251727,903355128.850913,640989427.3310337,930183421.1082973,119581434.0284996,28038661.756443024
DC,8171033.408691406,0.0,513655.203125,134731.80541992188,32995198.822654724,10985724.358398438,1175463.2971801758,0.0,2364827.4302368164,4453040.518173218,25079838.480766296,0.0,0.0,0.0,10581711.09388733,2566713.811542511,0.0,0.0,1842756.2810058594,4458577.010620117,459668247.7558174,961146.6607666016,988538.7062988281,1992178.9584960938,11485847.727584839,1786401.505569458,0.0,9004731.588043213,0.0,1592965.6206054688,224480.0,9041170.342391968,0.0,0.0,4280964.828098297,1440533.7584838867,2141676.061279297,1840026.9189453125,71736355.01870346,0.0,1547385282.4654994,247321.2081298828,0.0,0.0,11740638.018920898,544436.0,385799945.04125404,0.0,9403623.992622375,2789355.5,1695660.0993022919,0.0
DE,2648671.2163085938,121747158.71449566,181556565.42881966,695389955.6833334,1543471672.6956005,358713963.6208191,426757564.9094827,34004467.570100784,0.0,819662807.1210136,829461351.5366802,1420063.019411087,130286259.03383255,15006380.998462677,825989558.846097,421367781.8555579,29644380.7467165,384505528.8936758,202489930.23342896,1569549514.6279135,3970841009.6032777,100254389.85834885,369512415.41740847,122775276.66410637,470716479.20582485,25165177.030994415,69542303.24323559,415841163.68665934,43384645.058568,22341933.81321335,101176410.41331291,4353794415.255283,18406164.974858284,81161851.64904785,3299953638.629763,4438566060.092073,31963035.987193584,146579656.01974916,8751189815.153183,81426310.23641777,5298474985.437139,204910658.90776253,87661222.59004784,703851062.1035514,1271315918.8240905,247981665.68794632,1085973659.5912976,50440638.03303623,157102592.62077665,245307343.4659562,122930347.05560493,8088644.259311676
FL,270621280.857172,7108468565.316892,1880476606.3538065,2426407070.177207,11764391543.695599,1238299233.134448,1816045541.2233143,638194257.3315849,478341570.2389412,0.0,18505655981.21466,220270091.12008667,1217713631.1996346,331475472.9473028,6154516148.085041,3136570979.3544135,1416644928.3947268,2723406614.933439,2352713441.912279,2256799342.6148977,2540833851.6744347,307449295.440856,2784879761.1108484,2193377279.6482105,2648957166.3336325,1776774086.074915,227248339.70014572,8107720937.623468,400700337.6901798,642207427.3582172,368146054.68382835,4300139386.729479,394382417.5732355,1137182026.8980918,11976313774.451326,5496410798.84255,1232769074.1837816,1236752089.3534927,5425939717.181986,165184357.12837505,57826590613.67026,6233315398.9060135,150684057.11560345,4676149405.777309,12771935174.51404,1998593742.257741,5387267024.05959,118359915.73759651,3489019122.0840397,2026991279.502246,547856987.9753704,113280884.4763937
GA,162563613.28532982,19284574739.081406,2372626860.6911654,1973664023.9619331,13968677972.83277,1681923703.4542122,1362763083.2849026,347009973.23819256,499998601.6308842,57181694281.52515,0.0,129917524.13524246,1677199603.5585783,345871470.40375423,8782355413.094528,4809910084.085175,1953147263.1152973,4842073625.393656,4162231331.4780893,1834333666.800393,2455646184.877866,423495032.2254257,8785724435.228039,2685352071.59816,3116487939.745922,4494674645.730474,811432598.2687607,24185100862.054123,592822946.0991745,611124178.1338091,864290772.46309,3721582701.314709,385750278.5863018,668798765.4981499,5741744878.583951,7146227457.147263,1844919030.186802,1287390235.976389,6852605562.977129,399310105.6665797,38692471388.80824,20481662104.083405,1524680410.9974117,23679678657.654125,20575483410.177162,1099345710.121419,5350221465.58421,348238782.5054064,3190845072.527626,5160114684.97903,746203800.8000736,183184459.66205597
HI,1755605.358505249,1605334.5189170837,6797664.09677124,17512552.233880043,322770916.9256973,17429754.230075836,27377107.335056305,298127.397480011,1887106.591079712,116247247.09665966,14688998.971449852,0.0,953253.6976318359,1879840.805475235,32519449.08693981,6876578.042627335,2059965.800857544,8133988.460389137,2491028.9127693176,8231624.804261208,9342260.376613617,1135816.6842041016,12243470.521639824,3042410.0495262146,6047377.507331848,280661.1946411133,416740.48680877686,5671590.98550415,1017928.8339366913,1214825.4851608276,3530996.445701599,7131187.536643028,14861037.632659912,20380985.75074482,40974504.725426674,7605957.080188751,3444988.226633072,8121455.683822632,40558241.4221344,348155.6022338867,3149846583.319187,10902375.91342926,733867.3816452026,13775430.617378235,73022608.25424004,5789176.849216461,11942382.11773777,2005633.3827667236,31724756.864915848,6394501.868471146,1095560.884223938,405309.7986869812
IA,66743726.49555969,1031235764.006176,1110776070.758557,1727537190.53161,6564716119.162502,2392403166.259247,514030255.14044094,12003378.683002472,146833959.3935585,3242764944.178586,4959319144.631138,43028414.99774361,0.0,849957691.5861177,16760016844.766848,3522206597.9723225,4057845096.090508,2422708210.178992,1869955570.4498549,772638922.9667873,3544891847.634943,592475997.5270672,4459466126.918663,12498474640.811153,7519334076.504293,1130323464.4995892,508249800.05820847,2780549005.2238603,2064293423.9891071,7255108823.173889,186134560.19934845,2322881701.6296034,265097287.6125431,299476470.7257004,2370949013.426962,4380396481.1004715,1337243075.4976501,1034595559.9363918,4559109393.389608,76786930.66996384,13769949824.879124,867620682.0425758,3169325944.909913,1692546552.9795372,10581801061.470186,806177322.7423506,2609912642.55262,128162472.53190136,2201112687.6633883,6869305319.040861,203907282.55496788,330526283.7719784
ID,766856459.0238323,226900238.8317852,45189326.42737579,464743082.39779854,4201538623.642152,830025250.8600583,36992223.396160126,6651658.4574661255,24231465.2110672,532352747.38491917,482374577.544968,11830114.05995369,241186169.11522102,0.0,1185953573.106255,277540502.81152725,222670495.08010292,147961983.32679868,432879360.4190941,170784602.75120163,153657990.4833182,5750385.420213699,343715603.1327915,271399934.11673737,439294785.03545666,22507585.555351257,996158385.8644867,290894342.2685728,81578771.73131275,132164088.82633841,28984169.179546356,178690952.25611687,174263800.7897086,561163377.7671208,631664020.4515285,496304465.782671,173742142.87800407,1876918020.9226336,614637042.2533463,3605474.0601615906,4126958030.9250593,70640753.92836952,64602988.07844353,460199963.51885796,1784662106.1163378,2855577545.301924,174294473.79070663,8331467.794464111,3402547628.320775,1312398656.9672165,87023403.36906433,357875947.378747
IL,164065720.81333733,5016961067.466475,3300671381.8046236,3682342526.541374,24339748322.98754,4545006641.914111,2851287986.8033056,382133866.985404,673144804.7043209,13697034735.568195,10790725533.192429,433026418.24705696,16332747054.239458,748140362.2053242,0.0,55369018953.03595,5623764743.553556,12527567781.867096,15967150246.21566,3787356093.245071,5477297764.310776,521322101.6907692,34929718930.523796,14272568424.754475,21447171004.397446,3160717452.5300417,2329208464.779888,8259022913.79217,4106053813.6968474,4804707757.965771,1586731284.2311668,6664263071.038627,954816872.4850397,3003611564.68909,12066272485.99207,25784082169.00279,2889839889.938539,1955754921.3113303,12553675726.829256,410379194.7502537,67596108178.97964,3194592527.3552685,1476098822.7109175,9888788774.153898,28962027727.077946,2024092959.557869,9970398843.797295,495214158.9479523,5125882273.859491,48042509009.23053,745941521.8991508,744737494.5219145
IN,275651026.12418556,4276494227.4760437,1784105039.0480433,2260976322.752448,12240435831.315369,2100046154.4222794,1634507134.6601043,132947388.375206,1055921083.468113,11827595937.619953,12713908987.574663,233699801.57517052,5699117785.226304,363650248.44285107,32568479097.883682,0.0,1723449292.9155178,17347665661.291306,3356554154.1228075,2657869010.2990217,3890972780.2612925,372658380.9077873,34790657497.990654,4555357723.183821,6935615335.055012,2157987737.375987,426288995.2000828,8700429716.970055,1271203705.6363068,1598227616.741478,972527975.9969234,4248968709.4819107,430117704.0782385,729757359.9203558,9864643729.67852,36147817961.509346,1811431366.278314,1169846541.4914894,8483192533.616688,376823173.697773,40960398216.66211,3460719678.786461,423891038.43585014,8845763871.2309,21875901213.85198,908586033.5402346,3800204757.1460524,226707435.55210495,2544262431.3310637,8335836390.614783,1689109181.052,190123191.8898735
KS,384912959.1194782,576572940.9648628,1307936365.7746582,1131366105.0368128,6969596188.993153,3930945105.0053415,369358034.67573667,27996982.271686554,115637775.33538437,4282464573.7936797,3854182553.5494423,40367645.89993191,3276231032.1854906,408614231.9943485,8050274742.917628,1724341450.0669441,0.0,781708044.3601766,1402334966.2108526,1054166783.1055851,1122307120.0529032,170596862.9122591,2419201535.362694,1967001633.887113,14970552465.043844,685486332.8316045,348465460.88151026,1859713072.4497926,519961824.9578819,5002656700.035152,114082763.41598988,1704790289.8904366,389898919.4697685,410723793.0609498,2650346216.1975784,2525852667.9272776,6019914522.798418,591507048.9761825,2707374523.3208094,42376092.41300297,11611416798.17585,908893142.1554937,424810615.1253643,2211663317.899627,11849415246.519588,528935990.4091444,957013205.8690276,81355665.47402,7366248222.86447,2093983164.7763414,91059494.83557034,369075013.99816513
KY,72427633.9304161,3712414999.736143,1014580616.3347845,1314928885.3655138,8559762401.366727,1080238323.4468718,1120858102.6901407,145851575.20617294,333559834.1901617,8102173146.141857,5998140550.414475,87587645.0778284,1412486537.482852,138870637.08040237,9277316865.318869,13307204843.15787,1382061881.7810616,0.0,3033257028.823305,2169340850.9068437,1842148297.9003286,604663466.8356667,9667405377.470488,1953492551.303893,6458988318.294303,2674253288.3054495,234421339.43121243,5021963331.092398,1342316130.0932064,1408307184.925167,728683415.5143943,3416532411.0026736,277785879.2599888,790313730.60501,3938130359.6694837,15272200707.240095,876393657.068963,856780957.5934649,7154496161.38718,121041649.27286434,32417067974.505245,3418081273.038747,176566578.04077178,17449146577.42244,13665737913.354208,668396222.6364121,4347473122.287245,111289502.56236744,2234976148.2460604,3160463809.8845153,5048373147.913036,310521834.1541363
LA,50224526.300582886,3115758938.6076627,1836429833.3395247,636714590.5591164,4713868740.405127,428866425.2195568,1508787762.9263077,66678904.2711525,245848289.07886314,8672893658.368513,5759035087.569825,3692685.2126750946,1853249995.2090816,87758503.93188286,5602122233.308346,1137829741.6221566,721848404.5382338,1779072848.3656723,0.0,441162571.7966862,386387368.0169554,48982992.893880844,1838111859.3902974,1299940459.7280667,1499749969.1609683,12318713360.235445,80227346.0855875,1644813335.7131147,451957882.4312315,597833311.1557703,35289638.40594101,1671446940.8568187,363708381.17593575,232452616.5413494,1088345306.593361,4027898472.0197206,1247269648.2297354,463534791.32101583,2763457956.3021803,36119862.82795334,58263652455.86494,2211020227.6187544,40922974.11798477,4625927077.607811,35294990633.7217,335401507.4808656,2317534849.0780582,18376678.169834137,359978736.1044321,725023874.0109314,452637075.1115322,104789743.13021088
MA,127062271.80889511,1525410124.5189314,350323594.33506966,1850568149.078189,10725453320.981548,1659425842.6232643,14325006231.039108,350573863.71728516,407233960.9125347,6187683924.093239,2901712973.1984534,1351563113.2104495,756699508.4120159,123794436.11198807,3642690541.922295,3188260308.9279466,497851978.50260353,1358429770.3479662,950979373.984211,0.0,2338526826.7280426,6623903488.332511,2476499266.8157105,1473629296.197638,921002729.1238422,649636543.4316807,323688924.63303566,3835430822.7339587,103008491.93855286,361890187.34085274,19874380553.700783,5936091964.590617,200641015.77000427,673268814.0174618,28516657622.022675,4510279076.050729,571080401.0666761,706674043.228735,5880755298.773655,5104452787.52816,29316877952.319557,1302122796.2706432,162183143.7211094,3406660172.0658193,9413704545.375996,603379189.1298504,2802779275.061722,2934796554.828979,1838385887.3905993,1415713779.865027,659543641.9533663,887054826.3699703
MD,149511781.51883793,1011330488.3722076,161772742.70285225,657986537.9462757,6195679699.697037,473060353.17298603,1862193966.812008,4393552792.720841,2792358391.5482206,4047949839.7012053,1603151449.2048006,34682255.23633957,560098468.8485651,58896536.31587601,2770299510.6285086,1333775068.3675814,416202594.9687271,1320634111.8653612,303344167.7438526,2880414424.6868563,0.0,394471543.02288437,2171055674.0741262,485885187.6919117,774310755.7373619,888195184.4359522,70282327.72169685,2780920305.0478573,225749482.09309578,527431301.60480404,620120583.6433239,5705903415.099037,25363141.686327934,220644090.79256248,8099959746.838955,2607838237.219884,508700026.2722683,227911599.70015717,13650651802.153332,401269644.2202492,9807755721.633299,936480419.4369497,13630701.774856567,928323939.747201,4261515650.842513,454918583.7220173,17487091430.931976,241216012.44096184,804352470.4667301,859594907.1690435,1162896281.085536,17853672.861665726
ME,14433345.243526459,94749812.11835575,62719584.81813049,161846490.2702055,723309191.4647241,90780023.12945843,1068836263.3683405,14581376.885213852,13019546.966893196,421632401.8530531,295679629.96269226,22562655.838962555,40472551.6859436,8714076.257119179,405941116.46511173,337249977.68239594,45971303.48010063,131090073.48551655,26143673.91543579,4365378949.002081,148614921.10442972,0.0,438540995.4721165,135327798.72412014,92081390.58958054,58943973.58714104,9947642.027334213,409079487.51519966,19953753.315781593,38255058.621816635,2626926845.947785,1149507127.5151625,17789930.0730381,45322527.95914841,2184337490.5264,296713826.2760143,41011667.092972755,127938336.49632359,1398384996.49541,500743444.9075279,3034454105.990793,159865247.7787056,19071196.68782425,461041216.69979525,436354506.3067403,106321501.68047047,350055018.9262829,625265468.7552633,109623144.44404602,374111339.6122389,30330153.325548172,9246451.054712296
MI,202634536.50152302,3790182591.197402,2763089699.7414474,3392009634.470441,18198204836.9126,2015018809.6971326,1768740600.7828846,77934644.91099358,631887959.8495178,8381784032.2256,5366264340.17859,102879610.29062653,4627215756.573292,589748979.1740884,26606783858.246838,22156238072.186867,1656205137.617683,10349310540.642498,1634345988.4377632,3307800374.248719,4599027453.379581,562696735.1586761,0.0,6609913135.264938,7167446640.960186,2148845561.6748962,921735191.393981,5922568775.763148,1245103833.5693188,937451665.1407188,613935598.629591,5334795641.789798,1130969931.1606407,1197597091.1933231,9578726878.151905,31330005537.7171,2236882531.6326785,1350049448.674285,9622196939.099947,124371215.62602043,61689818833.543564,10801342341.628757,341523497.8597269,11530905269.950567,27547272080.279087,1528456954.644285,3245624333.3693843,229288494.70488358,2821297152.8968296,8371928724.920596,1240555305.6933575,221347168.8049965
MN,158353762.0150051,1368572087.871563,623580609.9389307,1769475713.6669242,11877332913.69038,2327613443.7416987,935974831.3698578,81906365.75578141,1263429562.4991379,6639426864.111546,2253882431.641843,92829952.70872116,9564158456.969051,609498123.5860901,14270309587.686594,4520893195.413867,1867595668.6537018,3314121593.468977,3036617024.2231627,3735326516.621114,1460441261.677773,262941984.87563038,5177888071.778881,0.0,3077971790.225741,883927147.7133939,671368815.3873496,2042509249.3598595,6715043743.746275,2508153604.125009,624637058.6615939,4526875986.168222,822758306.0971465,1008727659.3535137,4671929631.912081,4674935683.96028,953860121.6200829,1228207534.3563595,4197892103.1938896,381333579.89275646,21824840566.25934,1367716622.497404,4727485149.094917,8180669066.657491,9850315829.357048,1263728200.9967756,3164582100.1181736,176791259.5010414,5786741078.866711,21272907837.051147,315435865.09205055,200420728.5715046
MO,31388876.474700928,1331337197.3835146,6165861586.03561,2264864301.3331356,12152378056.959595,2989782987.095011,1091406685.9114597,51992854.12514496,250454163.98052883,4368886523.119856,4283494291.0063868,329905004.2190571,6174302459.691014,304853157.5761242,22024002284.853916,6349112172.142132,14285353096.880787,4298061241.238319,3074772398.46023,1086530641.809278,7313634333.71809,344893932.5205517,5268308723.611769,3135637422.5550804,0.0,1426963550.646106,550773714.0120955,3044840608.460705,1261898527.0190282,4398698471.550254,196569320.1638317,6966548256.407053,687414052.6808271,1216707791.0562038,5504625698.627954,4437862750.139876,4217033968.25286,1449416112.57411,9821174509.579123,83451086.82129574,14889574911.372976,1717519412.4557734,696679225.1520395,5645304770.714131,14688373335.214859,1149327223.7975597,3756739266.5952888,164733832.36412907,2172478477.2578835,4020780730.895433,488945689.4154062,222619465.1855507
MS,43844811.85013962,6875824694.083902,2957355402.207259,750025890.263596,8029730831.163803,1788839023.6833696,297203533.8882783,42455286.24015808,78998916.30145073,6435559654.674554,5267153188.068746,79413391.67803288,653127431.9111414,167846077.24990845,4371664026.266355,1324980623.4130392,523237135.67974186,1035275080.8697472,6767870151.809589,2460328858.814622,361522028.85831356,89614034.44207382,5859227163.7593565,806474336.8191547,3099964331.449102,0.0,54668000.63702297,2179941830.407713,173143114.46735764,362316280.2744484,185730009.19921303,1731159807.040013,252741992.9339466,382329357.2570553,1301924851.4496627,3566635226.47007,3189037513.689184,2333805368.1896715,3320621688.9243116,53451865.364479065,11378557728.531378,1224785878.7746086,87217392.05314064,8136151217.666237,8400711750.357512,2071611473.4093175,4798401997.318341,28981468.724243164,926911214.6948161,954924145.3593855,177542248.0527134,53470024.69879913
MT,26433080.565652847,24137751.697841644,25730240.940868378,94666776.49626684,847022908.261581,222457938.06099892,7140261.164505005,729558.7097091675,6608291.3825035095,105048289.29345608,54210117.569458246,7834539.194318771,49081034.40715599,415060889.58367014,244791909.58705854,118491876.59551191,119090894.47739434,19156571.110221863,18632958.12629509,31025103.110774517,66232255.21316147,7302458.212976456,105701983.40737772,430141524.2200825,77867478.40363121,13698211.031783104,0.0,104152723.47804093,452546433.32975864,139049268.51273155,2906204.6084251404,53921133.52515745,23075582.524528503,74922748.64809394,169947836.21036482,140775697.4891498,40551047.90104294,974303037.771255,162873629.3390429,2453678.56489563,1870825657.4949481,18872816.638711452,190859980.99563122,287988153.01265144,376130362.1785495,303231002.9578562,37991256.50913334,8379384.258682251,2662605818.6621323,208598531.65687442,49745515.840727806,808331373.732647
