origin,destination,trade_value_usd
AK,AL,2618185.2687454224
AK,AZ,9861662.486078262
AK,AR,32480248.641952515
AK,CA,68934899.03533459
AK,CO,8837565.767912865
AK,CT,406862.09779930115
AK,DE,1864600.199142456
AK,DC,2289575.1088752747
AK,FL,12591941.47642517
AK,GA,38722516.84893417
AK,HI,492580.19845199585
AK,ID,4425338.923999786
AK,IL,34241760.431863785
AK,IN,4021700.388759613
AK,IA,1124385.6731176376
AK,KS,3959044.4376068115
AK,KY,3842684.650417328
AK,LA,8978082.683142662
AK,ME,2143919.179995537
AK,MD,6380321.768028259
AK,MA,20074438.415958405
AK,MI,6013986.91352272
AK,MN,9549302.721738815
AK,MS,77610.30038452148
AK,MO,6025621.913978577
AK,MT,5360280.594198227
AK,NE,232901.3996734619
AK,NV,11833354.173875809
AK,NH,1836447.8933143616
AK,NJ,9810786.262619972
AK,NM,3560457.997718811
AK,NY,325423068.8052244
AK,NC,7687146.556274414
AK,ND,350891.5959596634
AK,OH,12402079.796072006
AK,OK,6439879.655056
AK,OR,28670223.394729614
AK,PA,11924723.475513458
AK,RI,68209.09999847412
AK,SC,1906560.6397895813
AK,SD,11907.0
AK,TN,10739948.653064728
AK,TX,30990375.134166718
AK,UT,905909542.7860298
AK,VT,4064885.076739311
AK,VA,10453615.90766716
AK,RoW,5560903113.444966
AK,WA,1867045562.8463607
AK,WV,1507658.732925415
AK,WI,8198453.608615875
AK,WY,1726710.2515411377
AL,AK,9918150.795414925
AL,AZ,1331121421.0803404
AL,AR,1687198166.1794648
AL,CA,8177202894.267026
AL,CO,948189779.3641863
AL,CT,243392136.72519493
AL,DE,350413016.43016815
AL,DC,68578737.75258446
AL,FL,16221478260.95064
AL,GA,28981110392.54588
AL,HI,51804914.65554428
AL,ID,124645871.73427963
AL,IL,3292824842.1166162
AL,IN,2629961108.341633
AL,IA,708481158.9737902
AL,KS,627761445.9157734
AL,KY,2614006070.6670837
AL,LA,3647684005.8150735
AL,ME,135559407.31010628
AL,MD,1325651714.526536
AL,MA,1249111009.9799137
AL,MI,3969219215.166153
AL,MN,1065637454.1956749
AL,MS,7440842399.340477
AL,MO,1869380612.7119045
AL,MT,134768672.2467003
AL,NE,652441079.9163494
AL,NV,297771963.82470703
AL,NH,196059680.4081459
AL,NJ,1817686972.5043437
AL,NM,149202017.95359802
AL,NY,1771709992.1239367
AL,NC,3811109606.3473053
AL,ND,97276849.85052109
AL,OH,4445163503.393805
AL,OK,1602305441.3568478
AL,OR,456618947.68330765
AL,PA,3000895647.8532553
AL,RI,38505582.72311497
AL,SC,3160610517.016395
AL,SD,121657766.86840248
AL,TN,13033474072.1776
AL,TX,10971695374.665283
AL,UT,636777997.3008976
AL,VT,103303541.82451439
AL,VA,2046757645.31291
AL,RoW,22133584854.928844
AL,WA,1044012577.493146
AL,WV,346931360.1554947
AL,WI,1522656605.3337507
AL,WY,35599409.00689125
AR,AL,1467090540.047028
AR,AK,39391845.96563339
AR,AZ,1202249383.83037
AR,CA,3662355401.153197
AR,CO,728140376.1182458
AR,CT,192059084.70110035
AR,DE,26627362.82828331
AR,DC,10331719.687278748
AR,FL,1828738210.9360957
AR,GA,2561705471.5526257
AR,HI,50255978.242767334
AR,ID,85343773.68400764
AR,IL,3183342698.5475287
AR,IN,2749413829.1064043
AR,IA,841366809.2374728
AR,KS,1031817019.3068869
AR,KY,1047636479.647603
AR,LA,3145914966.2993603
AR,ME,237436059.29644012
AR,MD,285094152.4507084
AR,MA,597032747.8106022
AR,MI,1667778917.7125108
AR,MN,517059856.7158506
AR,MS,2775813084.9632635
AR,MO,4346550006.750067
AR,MT,171469826.03613472
AR,NE,541683052.9250135
AR,NV,114093783.42522049
AR,NH,125530200.96707535
AR,NJ,852067925.4377313
AR,NM,255984593.56258774
AR,NY,1444841863.8259764
AR,NC,1040737914.7183867
AR,ND,131648963.41033268
AR,OH,1906441774.670524
AR,OK,5848675342.543778
AR,OR,401334990.11810875
AR,PA,2067886140.5612864
AR,RI,15803799.831291199
AR,SC,685239491.9607935
AR,SD,108446797.67286682
AR,TN,5464639334.697836
AR,TX,11461961758.907995
AR,UT,1219419075.5678577
AR,VT,72128846.6113205
AR,VA,1025293104.606801
AR,RoW,6264987088.497465
AR,WA,657598159.8674488
AR,WV,234922279.35749054
AR,WI,1163000432.9091635
AR,WY,96884466.43042564
AZ,AL,1032006137.6010933
AZ,AK,143577383.27661705
AZ,AR,188132532.8941841
AZ,CA,28773748306.572083
AZ,CO,2008535923.096765
AZ,CT,770635883.1678276
AZ,DE,77038106.43405437
AZ,DC,23841982.704885483
AZ,FL,3176615751.336464
AZ,GA,3072618558.789972
AZ,HI,283433134.25030375
AZ,ID,383360401.2422085
AZ,IL,1636230611.1780622
AZ,IN,1720776995.087719
AZ,IA,345207855.78606987
AZ,KS,569870278.4244424
AZ,KY,453340739.5252304
AZ,LA,501700291.1246034
AZ,ME,118307031.61746597
AZ,MD,677326430.0222416
AZ,MA,935474256.087566
AZ,MI,1424297861.027469
AZ,MN,1554235404.2077923
AZ,MS,1187052448.791802
AZ,MO,921996510.8452315
AZ,MT,342870242.8577843
AZ,NE,684271228.5297791
AZ,NV,3625360223.8459606
AZ,NH,243136274.92091942
AZ,NJ,1099675795.9636412
AZ,NM,4972289803.640916
AZ,NY,2392027228.350325
AZ,NC,982893033.0699034
AZ,ND,85544889.28779411
AZ,OH,1099990595.6430483
AZ,OK,475842644.69693756
AZ,OR,989810943.8461103
AZ,PA,1395478219.7686443
AZ,RI,140482598.68309784
AZ,SC,811374999.696188
AZ,SD,77473805.55171585
AZ,TN,1382569161.24997
AZ,TX,13822708642.17015
AZ,UT,2603011177.838144
AZ,VT,60038520.74398041
AZ,VA,1531579163.4625282
AZ,RoW,22438310203.218025
AZ,WA,2075374636.6160958
AZ,WV,45486657.62293458
AZ,WI,797153107.1005306
AZ,WY,160810384.1926751
CA,AL,9853174035.043344
CA,AK,989122849.6607914
CA,AZ,37139048412.28582
CA,AR,2653561780.98382
CA,CO,13784256455.336758
CA,CT,5997968211.570751
CA,DE,1054920742.9292278
CA,DC,736130347.84657
CA,FL,38465193194.36145
CA,GA,16184856167.050379
CA,HI,9724508933.609243
CA,ID,4154731675.165884
CA,IL,22390565920.78359
CA,IN,11117869192.713074
CA,IA,4191943838.463813
CA,KS,6575946721.135468
CA,KY,8460295781.112959
CA,LA,4481847498.632055
CA,ME,1146865669.4705896
CA,MD,8735724468.940899
CA,MA,10168068069.493927
CA,MI,16754029364.642685
CA,MN,9638862965.833431
CA,MS,6905682076.553591
CA,MO,10329563520.308853
CA,MT,3434409731.407851
CA,NE,2331258909.992921
CA,NV,31276142141.026905
CA,NH,2540362891.9664154
CA,NJ,20512225359.96171
CA,NM,3136598879.6372356
CA,NY,24813185322.947975
CA,NC,11844170159.228542
CA,ND,1494138456.8077202
CA,OH,32224013152.568672
CA,OK,6144499814.280881
CA,OR,23580379976.57371
CA,PA,21788349218.76222
CA,RI,728643875.3431425
CA,SC,5289801029.254108
CA,SD,712727726.4692793
CA,TN,13551609197.959002
CA,TX,69730496816.38536
CA,UT,17452254855.05356
CA,VT,525088057.6618767
CA,VA,11167889293.793306
CA,RoW,181643108890.51334
CA,WA,32918878000.67843
CA,WV,1477316726.9181004
CA,WI,8764912915.13557
CA,WY,1056667521.3376155
CO,AL,536310842.28426504
CO,AK,536929384.2474937
CO,AZ,1868014489.3837197
CO,AR,173190525.2027502
CO,CA,10689603803.803526
CO,CT,290130770.8591857
CO,DE,163053799.02584457
CO,DC,21358293.562854767
CO,FL,2386579967.3758187
CO,GA,1016037734.2562187
CO,HI,89167529.09287596
CO,ID,746841236.1696172
CO,IL,6041965362.473738
CO,IN,632875319.9339714
CO,IA,1254785786.2162106
CO,KS,3485070634.787029
CO,KY,952386394.3291702
CO,LA,484715303.127306
