fips,state_abbrev,state_name,pop_2017_acs,pop_2020_decennial
1,AL,Alabama,4874747,5024279
2,AK,Alaska,739795,733391
4,AZ,Arizona,7016270,7151502
5,AR,Arkansas,3004279,3011524
6,CA,California,39536653,39538223
8,CO,Colorado,5607154,5773714
9,CT,Connecticut,3588184,3605944
10,DE,Delaware,961939,989948
11,DC,District of Columbia,693972,689545
12,FL,Florida,20984400,21538187
13,GA,Georgia,10429379,10711908
15,HI,Hawaii,1427538,1455271
16,ID,Idaho,1716943,1839106
17,IL,Illinois,12802023,12812508
18,IN,Indiana,6666818,6785528
19,IA,Iowa,3145711,3190369
20,KS,Kansas,2913123,2937880
21,KY,Kentucky,4454189,4505836
22,LA,Louisiana,4684333,4657757
23,ME,Maine,1335907,1362359
24,MD,Maryland,6052177,6177224
25,MA,Massachusetts,6859819,7029917
26,MI,Michigan,9962311,10077331
27,MN,Minnesota,5576606,5706494
28,MS,Mississippi,2984100,2961279
29,MO,Missouri,6113532,6154913
30,MT,Montana,1050493,1084225
31,NE,Nebraska,1920076,1961504
32,NV,Nevada,2998039,3104614
33,NH,New Hampshire,1342795,1377529
34,NJ,New Jersey,9005644,9288994
35,NM,New Mexico,2088070,2117522
36,NY,New York,19849399,20201249
37,NC,North Carolina,10273419,10439388
38,ND,North Dakota,755393,779094
39,OH,Ohio,11658609,11799448
40,OK,Oklahoma,3930864,3959353
41,OR,Oregon,4142776,4237256
42,PA,Pennsylvania,12805537,13002700
44,RI,Rhode Island,1059639,1097379
45,SC,South Carolina,5024369,5118425
46,SD,South Dakota,869666,886667
47,TN,Tennessee,6715984,6910840
48,TX,Texas,28304596,29145505
49,UT,Utah,3101833,3271616
50,VT,Vermont,623657,643077
51,VA,Virginia,8470020,8631393
53,WA,Washington,7405743,7705281
54,WV,West Virginia,1815857,1793716
55,WI,Wisconsin,5795483,5893718
56,WY,Wyoming,579315,576851
