state_abbrev,state_name,gdp_2012_q4_millions
AK,Alaska,57836
AL,Alabama,188560
AR,Arkansas,109179
AZ,Arizona,274101
CA,California,2158269
CO,Colorado,278463
CT,Connecticut,241781
DC,District of Columbia,112780
DE,Delaware,61271
FL,Florida,792125
GA,Georgia,453505
HI,Hawaii,72283
IA,Iowa,158084
ID,Idaho,58269
IL,Illinois,726006
IN,Indiana,300766
KS,Kansas,139988
KY,Kentucky,178278
LA,Louisiana,232756
MA,Massachusetts,444397
MD,Maryland,332079
ME,Maine,53541
MI,Michigan,429146
MN,Minnesota,301028
MO,Missouri,274523
MS,Mississippi,100062
MT,Montana,42503
NC,North Carolina,446115
ND,North Dakota,54370
NE,Nebraska,104206
NH,New Hampshire,69709
NJ,New Jersey,517184
NM,New Mexico,86852
NV,Nevada,129950
NY,New York,1360388
OH,Ohio,545297
OK,Oklahoma,177624
OR,Oregon,172574
PA,Pennsylvania,649073
RI,Rhode Island,51555
SC,South Carolina,178832
SD,South Dakota,44904
TN,Tennessee,289278
TX,Texas,1464253
UT,Utah,130789
VA,Virginia,447632
VT,Vermont,29030
WA,Washington,400142
WI,Wisconsin,277200
WV,West Virginia,69478
WY,Wyoming,38089
