state_id,label,betweenness,eigenvector,out_degree,rank_betweenness,rank_eigenvector,rank_out_degree
52,RoW,0.915294,0.522191,1.000000,1,1,1
6,CA,0.221569,0.481247,0.348798,2,2,2
48,TX,0.115294,0.370585,0.322446,3,3,3
17,IL,0.109412,0.198904,0.231575,4,5,4
25,MA,0.096471,0.063724,0.087271,5,22,19
53,WA,0.077255,0.088793,0.109919,6,15,14
36,NY,0.075686,0.203492,0.171890,7,4,7
27,MN,0.058039,0.056122,0.085609,8,24,20
42,PA,0.056863,0.155774,0.200634,9,10,5
8,CO,0.039216,0.038602,0.040752,10,32,33
51,VA,0.020000,0.068359,0.071645,11,20,23
19,IA,0.018824,0.029821,0.068054,12,35,25
13,GA,0.000392,0.146873,0.143383,13,11,12
39,OH,0.000000,0.158206,0.181601,14,9,6
1,AL,0.000000,0.052604,0.071542,14,26,24
37,NC,0.000000,0.091931,0.132662,14,14,13
35,NM,0.000000,0.015089,0.008040,14,39,47
38,ND,0.000000,0.011495,0.013970,14,46,43
40,OK,0.000000,0.048007,0.035049,14,27,34
45,SC,0.000000,0.069740,0.076840,14,18,22
44,RI,0.000000,0.012096,0.017292,14,45,41
34,NJ,0.000000,0.170345,0.156315,14,7,8
46,SD,0.000000,0.004760,0.010671,14,51,44
47,TN,0.000000,0.125594,0.144373,14,12,11
49,UT,0.000000,0.039944,0.040932,14,31,32
50,VT,0.000000,0.006397,0.009352,14,48,46
54,WV,0.000000,0.014566,0.019993,14,40,38
41,OR,0.000000,0.046737,0.048827,14,28,30
33,NH,0.000000,0.019096,0.019392,14,37,40
29,MO,0.000000,0.055711,0.089801,14,25,18
31,NE,0.000000,0.014055,0.031357,14,41,36
2,AK,0.000000,0.005062,0.004017,14,49,50
4,AZ,0.000000,0.064409,0.051240,14,21,29
5,AR,0.000000,0.027594,0.034208,14,36,35
9,CT,0.000000,0.038154,0.062146,14,33,26
10,DE,0.000000,0.013057,0.019820,14,43,39
11,DC,0.000000,0.003820,0.001164,14,52,52
12,FL,0.000000,0.164145,0.094555,14,8,16
15,HI,0.000000,0.015882,0.001800,14,38,51
16,ID,0.000000,0.012703,0.014313,14,44,42
18,IN,0.000000,0.119926,0.148215,14,13,10
20,KS,0.000000,0.031801,0.054804,14,34,27
21,KY,0.000000,0.087384,0.092472,14,16,17
22,LA,0.000000,0.075364,0.077316,14,17,21
23,ME,0.000000,0.008627,0.010485,14,47,45
24,MD,0.000000,0.063148,0.048629,14,23,31
26,MI,0.000000,0.193639,0.149701,14,6,9
28,MS,0.000000,0.042884,0.051759,14,30,28
55,WI,0.000000,0.069007,0.102002,14,19,15
30,MT,0.000000,0.013180,0.005420,14,42,49
32,NV,0.000000,0.044653,0.022948,14,29,37
56,WY,0.000000,0.005000,0.005672,14,50,48
