state_id,label,betweenness,eigenvector,out_degree,rank_betweenness,rank_eigenvector,rank_out_degree,normalization
6,CA,0.506122,0.309053,1.0,1,2,1,Raw (baseline)
48,TX,0.262857,0.37141,0.751976,2,1,2,Raw (baseline)
36,NY,0.203265,0.290221,0.506828,3,3,7,Raw (baseline)
42,PA,0.167755,0.241298,0.679378,4,7,4,Raw (baseline)
17,IL,0.144898,0.252299,0.750789,5,6,3,Raw (baseline)
25,MA,0.113061,0.097417,0.276643,6,22,17,Raw (baseline)
39,OH,0.100816,0.26761,0.592153,7,4,5,Raw (baseline)
53,WA,0.097959,0.102527,0.265489,8,21,18,Raw (baseline)
27,MN,0.06,0.084294,0.282741,9,26,16,Raw (baseline)
13,GA,0.047347,0.197682,0.470041,10,11,10,Raw (baseline)
8,CO,0.04,0.069734,0.135678,11,28,31,Raw (baseline)
37,NC,0.035102,0.150187,0.436896,12,13,12,Raw (baseline)
19,IA,0.025714,0.064726,0.230628,13,31,22,Raw (baseline)
51,VA,0.024898,0.12809,0.237228,14,15,20,Raw (baseline)
24,MD,0.02,0.104622,0.164852,15,20,28,Raw (baseline)
22,LA,0.01551,0.111356,0.192163,16,17,25,Raw (baseline)
47,TN,0.010612,0.164833,0.481051,17,12,9,Raw (baseline)
29,MO,0.005714,0.111091,0.309702,18,18,14,Raw (baseline)
26,MI,0.004082,0.216665,0.455857,19,8,11,Raw (baseline)
18,IN,0.002857,0.20074,0.484304,20,10,8,Raw (baseline)
44,RI,0.0,0.01195,0.06023,21,46,40,Raw (baseline)
45,SC,0.0,0.110592,0.231858,21,19,21,Raw (baseline)
46,SD,0.0,0.011894,0.037304,21,47,43,Raw (baseline)
49,UT,0.0,0.060815,0.132414,21,33,32,Raw (baseline)
40,OK,0.0,0.09371,0.121389,21,24,33,Raw (baseline)
50,VT,0.0,0.011874,0.030173,21,48,45,Raw (baseline)
38,ND,0.0,0.025825,0.04231,21,40,42,Raw (baseline)
54,WV,0.0,0.037784,0.062533,21,36,39,Raw (baseline)
