source,target,commodity_code,weight
AL,FL,01,4379120.0
AL,GA,01,10666273.597755432
AL,KS,01,73671954.1561737
AL,MS,01,27554057.06504059
AL,MO,01,6887793.986930847
AL,NE,01,45109197.46040344
AL,NM,01,11975101.762252808
AL,OK,01,49688933.03557205
AL,TN,01,4672387.988113403
AL,TX,01,224890778.804348
AZ,AK,01,442152.78515625
AZ,CA,01,6217710.8916015625
AZ,CO,01,7138047.8486328125
AZ,FL,01,762667.673828125
AZ,LA,01,766681.0
AZ,MI,01,444383.392578125
AZ,OR,01,1131660.8779296875
AZ,TN,01,307738.58984375
AZ,TX,01,255255.0
AZ,WA,01,451440.0
CA,AL,01,2491654.5858154297
CA,AZ,01,2814362.055633545
CA,AR,01,206009.29354858398
CA,CO,01,7376620.152648926
CA,CT,01,851233.9901275635
CA,DE,01,705377.7892913818
CA,FL,01,2955764.8633728027
CA,GA,01,3095679.1744995117
CA,HI,01,60892.3009185791
CA,IL,01,4923903.620819092
CA,IN,01,242936.89791870117
CA,IA,01,686787.19140625
CA,KS,01,769994.52734375
CA,KY,01,255182.90074157715
CA,LA,01,395143.2987213135
CA,ME,01,23948.098999023438
CA,MD,01,4312331.009765625
CA,MA,01,908166.1909179688
CA,MI,01,3695013.0830078125
CA,MN,01,2321.60009765625
CA,MS,01,2362178.9376831055
CA,MO,01,2224560.743408203
CA,MT,01,2603196.2564697266
CA,NE,01,260009.39602661133
CA,NV,01,82788.80253601074
CA,NH,01,4667688.053756714
CA,NJ,01,12745370.94770813
CA,NM,01,1067604.9370117188
CA,NY,01,10418427.579620361
CA,NC,01,11077938.923492432
CA,OH,01,5289528.731811523
CA,OK,01,2194901.199951172
CA,OR,01,2610287.6196746826
CA,PA,01,9799080.615814209
CA,RI,01,2189540.171020508
CA,SC,01,11995936.833526611
CA,TN,01,10575368.323150635
CA,TX,01,7375764.198684692
CA,UT,01,1131798.9728851318
CA,VT,01,669615.5
CA,VA,01,12399346.280975342
CA,WA,01,6033398.387207031
CA,WI,01,2103893.1970062256
CA,WY,01,621551.9775390625
CT,MA,01,51741082.04589844
CT,NY,01,286117330.06347656
FL,AL,01,924205.6190185547
FL,CA,01,711531.0733337402
FL,DE,01,271672.5112915039
FL,GA,01,3768339.149383545
FL,IL,01,421056.0
FL,KS,01,17286706.669467926
FL,MA,01,567706.1970825195
FL,NJ,01,278533.50857543945
FL,NM,01,13642914.913879395
FL,OK,01,119319939.76707458
FL,TN,01,628996.3080749512
FL,TX,01,88643300.12326813
FL,VA,01,123260.794921875
GA,AL,01,1951949.3854980469
GA,CO,01,3781755.0
GA,DC,01,1250601.9775390625
GA,FL,01,16909937.58605957
GA,IL,01,101393.5986328125
GA,IN,01,1177319.6420898438
GA,IA,01,308552.4041748047
GA,KY,01,2237861.8489990234
GA,LA,01,7078298.052230835
GA,MD,01,2619822.2387695312
GA,MA,01,3585671.712890625
GA,MN,01,549355.0926513672
GA,MS,01,87909382.84991455
GA,MO,01,463232.9833984375
GA,NY,01,1197376.9926757812
GA,NC,01,6548481.044189453
GA,OH,01,620798.0
GA,OK,01,11121944.428955078
