state_abbrev,state_name,gdp_2017_q4_millions
AK,Alaska,54403
AL,Alabama,213903
AR,Arkansas,126263
AZ,Arizona,327933
CA,California,2802289
CO,Colorado,351666
CT,Connecticut,265876
DC,District of Columbia,134000
DE,Delaware,74978
FL,Florida,984138
GA,Georgia,563784
HI,Hawaii,89302
IA,Iowa,191072
ID,Idaho,73324
IL,Illinois,835642
IN,Indiana,364649
KS,Kansas,160390
KY,Kentucky,205935
LA,Louisiana,251058
MA,Massachusetts,537127
MD,Maryland,400630
ME,Maine,62519
MI,Michigan,512762
MN,Minnesota,353283
MO,Missouri,309190
MS,Mississippi,113387
MT,Montana,48604
NC,North Carolina,547187
ND,North Dakota,55894
NE,Nebraska,123120
NH,New Hampshire,82030
NJ,New Jersey,601940
NM,New Mexico,99129
NV,Nevada,160140
NY,New York,1564340
OH,Ohio,661077
OK,Oklahoma,192343
OR,Oregon,240695
PA,Pennsylvania,767580
RI,Rhode Island,60685
SC,South Carolina,222216
SD,South Dakota,50277
TN,Tennessee,351966
TX,Texas,1747212
UT,Utah,169130
VA,Virginia,517548
VT,Vermont,32594
WA,Washington,517236
WI,Wisconsin,330842
WV,West Virginia,78767
WY,Wyoming,41365
